;// Name;; Vorname;;Geburtsjahr;;Platz;;Partei;;;;Land;;;;;;Wkr;;;
AAAA;Aschenberg-Dugnus;BBBB;Christine;CCCC;1959;DDDD;6;EEEE;FDP;FFFF;2005;ZZZZ;SH;GGGG;2005;HHHH;FDP;IIII;4;JJJJ;2005;FINEFINE
AAAA;Atan;BBBB;Ferit;CCCC;1955;DDDD;6;EEEE;MLPD;FFFF;2005;ZZZZ;BW;GGGG;2005;HHHH;MLPD;II11;;;2005;FINEFINE
AAAA;Auernhammer;BBBB;Artur;CCCC;1963;DDDD;29;EEEE;CSU;FFFF;2005;ZZZZ;BY;GGGG;2005;HHHH;CSU;II11;;;2005;FINEFINE
AAAA;Aulenbacher;BBBB;Christa;CCCC;1941;DDDD;5;EEEE;GRAUE;FFFF;2005;ZZZZ;NW;GGGG;2005;HHHH;GRAUE;II11;;;2005;FINEFINE
AAAA;Austen;BBBB;Wolfhard;CCCC;1955;DDDD;0;EEEE;UNABHÄNGIGE;FF11;;;;;;;;IIII;171;JJJJ;2005;FINEFINE
AAAA;Aydin;BBBB;Hüseyin-Kenan;CCCC;1962;DDDD;6;EEEE;DIE LINKE;FFFF;2005;ZZZZ;NW;GGGG;2005;HHHH;DIE LINKE;II11;;;2005;FINEFINE
AAAA;Bäätjer;BBBB;Hans-Joachim;CCCC;1960;DDDD;0;EEEE;NPD;FF11;;;;;;;;IIII;37;JJJJ;2005;FINEFINE
AAAA;Bähr;BBBB;Manfred;CCCC;1959;DDDD;0;EEEE;FDP;FF11;;;;;;;;IIII;71;JJJJ;2005;FINEFINE
AAAA;Bär;BBBB;Dr. Oliver;CCCC;1977;DDDD;37;EEEE;CSU;FFFF;2005;ZZZZ;BY;GGGG;2005;HHHH;CSU;II11;;;2005;FINEFINE
AAAA;Bätzing;BBBB;Sabine;CCCC;1975;DDDD;10;EEEE;SPD;FFFF;2005;ZZZZ;RP;GGGG;2005;HHHH;SPD;IIII;199;JJJJ;2005;FINEFINE
AAAA;Bäuerle;BBBB;Peter;CCCC;1951;DDDD;8;EEEE;MLPD;FFFF;2005;ZZZZ;BW;GGGG;2005;HHHH;MLPD;IIII;261;JJJJ;2005;FINEFINE
AAAA;Bäumler;BBBB;Werner;CCCC;1952;DDDD;0;EEEE;DIE LINKE;FF11;;;;;;;;IIII;225;JJJJ;2005;FINEFINE
AAAA;Bäz-Dölle;BBBB;Uwe;CCCC;1966;DDDD;0;EEEE;NPD;FF11;;;;;;;;IIII;197;JJJJ;2005;FINEFINE
AAAA;Böck;BBBB;Dr. Gerhard;CCCC;1955;DDDD;59;EEEE;CSU;FFFF;2005;ZZZZ;BY;GGGG;2005;HHHH;CSU;II11;;;2005;FINEFINE
AAAA;Böhm;BBBB;Ralph;CCCC;1947;DDDD;0;EEEE;NPD;FF11;;;;;;;;IIII;181;JJJJ;2005;FINEFINE
AAAA;Böhmer;BBBB;Prof. Dr. Maria;CCCC;1950;DDDD;2;EEEE;CDU;FFFF;2005;ZZZZ;RP;GGGG;2005;HHHH;CDU;IIII;209;JJJJ;2005;FINEFINE
AAAA;Börnsen;BBBB;Wolfgang;CCCC;1942;DDDD;1;EEEE;CDU;FFFF;2005;ZZZZ;SH;GGGG;2005;HHHH;CDU;IIII;1;JJJJ;2005;FINEFINE
AAAA;Börs;BBBB;Peter;CCCC;1944;DDDD;7;EEEE;NPD;FFFF;2005;ZZZZ;BB;GGGG;2005;HHHH;NPD;IIII;56;JJJJ;2005;FINEFINE
AAAA;Bösing;BBBB;Monika;CCCC;1951;DDDD;62;EEEE;SPD;FFFF;2005;ZZZZ;NW;GGGG;2005;HHHH;SPD;II11;;;2005;FINEFINE
AAAA;Böttcher;BBBB;Gerlinde Leonore;CCCC;1962;DDDD;16;EEEE;SPD;FFFF;2005;ZZZZ;SH;GGGG;2005;HHHH;SPD;II11;;;2005;FINEFINE
AAAA;Böttger;BBBB;Dr. Martin Theodor;CCCC;1947;DDDD;6;EEEE;GRÜNE;FFFF;2005;ZZZZ;SN;GGGG;2005;HHHH;GRÜNE;IIII;167;JJJJ;2005;FINEFINE
AAAA;Böwering;BBBB;Karl-Heinz;CCCC;1945;DDDD;0;EEEE;NPD;FF11;;;;;;;;IIII;125;JJJJ;2005;FINEFINE
AAAA;Bülow;BBBB;Marco;CCCC;1971;DDDD;52;EEEE;SPD;FFFF;2005;ZZZZ;NW;GGGG;2005;HHHH;SPD;IIII;143;JJJJ;2005;FINEFINE
AAAA;Bülow von;BBBB;Dr. Juliane;CCCC;1964;DDDD;19;EEEE;CDU;FFFF;2005;ZZZZ;BW;GGGG;2005;HHHH;CDU;II11;;;2005;FINEFINE
AAAA;Bünger;BBBB;Clara-Anne;CCCC;1986;DDDD;13;EEEE;DIE LINKE;FFFF;2005;ZZZZ;SN;GGGG;2005;HHHH;DIE LINKE;II11;;;2005;FINEFINE
AAAA;Bürmann-Hackbarth;BBBB;Helga;CCCC;1948;DDDD;0;EEEE;UNABHÄNGIGE;FF11;;;;;;;;IIII;53;JJJJ;2005;FINEFINE
AAAA;Bürsch;BBBB;Dr. Michael Peter Karsten;CCCC;1942;DDDD;10;EEEE;SPD;FFFF;2005;ZZZZ;SH;GGGG;2005;HHHH;SPD;IIII;6;JJJJ;2005;FINEFINE
AAAA;Baß;BBBB;Elisabeth;CCCC;1973;DDDD;2;EEEE;Pro DM;FFFF;2005;ZZZZ;NI;GGGG;2005;HHHH;Pro DM;II11;;;2005;FINEFINE
AAAA;Baba;BBBB;Evrim;CCCC;1971;DDDD;7;EEEE;DIE LINKE;FFFF;2005;ZZZZ;BE;GGGG;2005;HHHH;DIE LINKE;IIII;83;JJJJ;2005;FINEFINE
AAAA;Babel;BBBB;Dr. Gisela;CCCC;1938;DDDD;42;EEEE;FDP;FFFF;2005;ZZZZ;HE;GGGG;2005;HHHH;FDP;II11;;;2005;FINEFINE
AAAA;Babic;BBBB;Safet;CCCC;1981;DDDD;4;EEEE;NPD;FFFF;2005;ZZZZ;RP;GGGG;2005;HHHH;NPD;IIII;205;JJJJ;2005;FINEFINE
AAAA;Bach;BBBB;Thomas Joachim;CCCC;1961;DDDD;36;EEEE;CDU;FFFF;2005;ZZZZ;HE;GGGG;2005;HHHH;CDU;II11;;;2005;FINEFINE
AAAA;Bachmaier;BBBB;Hermann;CCCC;1939;DDDD;25;EEEE;SPD;FFFF;2005;ZZZZ;BW;GGGG;2005;HHHH;SPD;IIII;269;JJJJ;2005;FINEFINE
AAAA;Bachmann;BBBB;Dr. Volker;CCCC;1966;DDDD;0;EEEE;PBC;FF11;;;;;;;;IIII;294;JJJJ;2005;FINEFINE
AAAA;Bachmann;BBBB;Iris;CCCC;1947;DDDD;21;EEEE;GRÜNE;FFFF;2005;ZZZZ;HE;GGGG;2005;HHHH;GRÜNE;II11;;;2005;FINEFINE
AAAA;Backes;BBBB;Veronika;CCCC;1956;DDDD;32;EEEE;CDU;FFFF;2005;ZZZZ;HE;GGGG;2005;HHHH;CDU;II11;;;2005;FINEFINE
AAAA;Bader;BBBB;Anja;CCCC;1985;DDDD;27;EEEE;DIE LINKE;FFFF;2005;ZZZZ;SN;GGGG;2005;HHHH;DIE LINKE;II11;;;2005;FINEFINE
AAAA;Bader;BBBB;Jürgen;CCCC;1960;DDDD;1;EEEE;MLPD;FFFF;2005;ZZZZ;HH;GGGG;2005;HHHH;MLPD;II11;;;2005;FINEFINE
AAAA;Badla;BBBB;Karlheinz;CCCC;1931;DDDD;25;EEEE;GRAUE;FFFF;2005;ZZZZ;NW;GGGG;2005;HHHH;GRAUE;II11;;;2005;FINEFINE
AAAA;Baecker;BBBB;Dietrich Karl Ernst;CCCC;1937;DDDD;1;EEEE;PBC;FFFF;2005;ZZZZ;HB;GGGG;2005;HHHH;PBC;II11;;;2005;FINEFINE
AAAA;Bagehorn;BBBB;Uwe;CCCC;1969;DDDD;0;EEEE;NPD;FF11;;;;;;;;IIII;168;JJJJ;2005;FINEFINE
AAAA;Bahr;BBBB;Daniel;CCCC;1976;DDDD;8;EEEE;FDP;FFFF;2005;ZZZZ;NW;GGGG;2005;HHHH;FDP;IIII;130;JJJJ;2005;FINEFINE
AAAA;Bahr;BBBB;Ernst;CCCC;1945;DDDD;11;EEEE;SPD;FFFF;2005;ZZZZ;BB;GGGG;2005;HHHH;SPD;IIII;56;JJJJ;2005;FINEFINE
AAAA;Bahr;BBBB;Karola;CCCC;1962;DDDD;11;EEEE;DIE LINKE;FFFF;2005;ZZZZ;BB;GGGG;2005;HHHH;DIE LINKE;II11;;;2005;FINEFINE
AAAA;Baitschora;BBBB;Harry;CCCC;1965;DDDD;0;EEEE;NPD;FF11;;;;;;;;IIII;256;JJJJ;2005;FINEFINE
AAAA;Balluff;BBBB;Peter;CCCC;1954;DDDD;0;EEEE;DIE LINKE;FF11;;;;;;;;IIII;207;JJJJ;2005;FINEFINE
AAAA;Balski;BBBB;Mathias Michael;CCCC;1984;DDDD;10;EEEE;Die PARTEI;FFFF;2005;ZZZZ;BE;GGGG;2005;HHHH;Die PARTEI;II11;;;2005;FINEFINE
AAAA;Balz;BBBB;Burkhard;CCCC;1969;DDDD;41;EEEE;CDU;FFFF;2005;ZZZZ;NI;GGGG;2005;HHHH;CDU;II11;;;2005;FINEFINE
AAAA;Bambach;BBBB;Rüdiger Horst;CCCC;1939;DDDD;10;EEEE;FDP;FFFF;2005;ZZZZ;HH;GGGG;2005;HHHH;FDP;II11;;;2005;FINEFINE
AAAA;Bankert;BBBB;Angela;CCCC;1956;DDDD;27;EEEE;DIE LINKE;FFFF;2005;ZZZZ;NW;GGGG;2005;HHHH;DIE LINKE;II11;;;2005;FINEFINE
AAAA;Bankmann;BBBB;Klaus;CCCC;1933;DDDD;14;EEEE;GRAUE;FFFF;2005;ZZZZ;BE;GGGG;2005;HHHH;GRAUE;II11;;;2005;FINEFINE
AAAA;Bannert;BBBB;Stefan;CCCC;1966;DDDD;0;EEEE;DIE LINKE;FF11;;;;;;;;IIII;249;JJJJ;2005;FINEFINE
AAAA;Bannert;BBBB;Ulrich Gustav;CCCC;1950;DDDD;13;EEEE;REP;FFFF;2005;ZZZZ;BY;GGGG;2005;HHHH;REP;II11;;;2005;FINEFINE
AAAA;Bansemir;BBBB;Dina Susanne;CCCC;1979;DDDD;9;EEEE;DIE LINKE;FFFF;2005;ZZZZ;BY;GGGG;2005;HHHH;DIE LINKE;II11;;;2005;FINEFINE
AAAA;Bansemir;BBBB;Markus;CCCC;1972;DDDD;4;EEEE;DIE LINKE;FFFF;2005;ZZZZ;BY;GGGG;2005;HHHH;DIE LINKE;IIII;239;JJJJ;2005;FINEFINE
AAAA;Bareiß;BBBB;Thomas;CCCC;1975;DDDD;0;EEEE;CDU;FF11;;;;;;;;IIII;295;JJJJ;2005;FINEFINE
AAAA;Barfuß;BBBB;Dieter;CCCC;1949;DDDD;0;EEEE;NPD;FF11;;;;;;;;IIII;67;JJJJ;2005;FINEFINE
AAAA;Barfuß;BBBB;Dr. Georg;CCCC;1944;DDDD;21;EEEE;FDP;FFFF;2005;ZZZZ;BY;GGGG;2005;HHHH;FDP;IIII;255;JJJJ;2005;FINEFINE
AAAA;Barges;BBBB;Hermann;CCCC;1950;DDDD;0;EEEE;OHNE PARTEI;FF11;;;;;;;;IIII;83;JJJJ;2005;FINEFINE
AAAA;Bargon;BBBB;Werner;CCCC;1947;DDDD;5;EEEE;NPD;FFFF;2005;ZZZZ;HE;GGGG;2005;HHHH;NPD;IIII;183;JJJJ;2005;FINEFINE
AAAA;Barnett;BBBB;Doris;CCCC;1953;DDDD;2;EEEE;SPD;FFFF;2005;ZZZZ;RP;GGGG;2005;HHHH;SPD;IIII;209;JJJJ;2005;FINEFINE
AAAA;Bartel;BBBB;Frank;CCCC;1964;DDDD;26;EEEE;DIE LINKE;FFFF;2005;ZZZZ;NW;GGGG;2005;HHHH;DIE LINKE;IIII;136;JJJJ;2005;FINEFINE
AAAA;Bartels;BBBB;Dr. Hans-Peter;CCCC;1961;DDDD;6;EEEE;SPD;FFFF;2005;ZZZZ;SH;GGGG;2005;HHHH;SPD;IIII;5;JJJJ;2005;FINEFINE
AAAA;Bartels;BBBB;Hermann;CCCC;1962;DDDD;28;EEEE;CDU;FFFF;2005;ZZZZ;NI;GGGG;2005;HHHH;CDU;IIII;40;JJJJ;2005;FINEFINE
AAAA;Bartelt;BBBB;Christian;CCCC;1976;DDDD;0;EEEE;FDP;FF11;;;;;;;;IIII;16;JJJJ;2005;FINEFINE
AAAA;Bartelt;BBBB;Dr. Ralf-Norbert;CCCC;1956;DDDD;34;EEEE;CDU;FFFF;2005;ZZZZ;HE;GGGG;2005;HHHH;CDU;II11;;;2005;FINEFINE
AAAA;Barth;BBBB;Edith;CCCC;1935;DDDD;23;EEEE;SPD;FFFF;2005;ZZZZ;SL;GGGG;2005;HHHH;SPD;II11;;;2005;FINEFINE
